Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
58 "AMD Ryzen 5 7600X" "Raphael (Zen4)" 6MB + 32MB 105 4700 ‑ 5300 6/12 61.1 314n9 2517n9 1965n9 15236n9 21n9 205n9 8058n9 69291n9 2217n9 12003n9 370.5n8
59 "AMD Ryzen 5 7600" "Raphael (Zen4)" 6MB + 32MB 65 3800 ‑ 5100 6/12 57.8 298 2339 1852 12735 19.5 219 7566 64613 2088 11095 345n2
60* "Intel Core Ultra 5 135H" "Meteor Lake" + 18MB 28 3600 ‑ 4600 14/18            
61* "AMD Ryzen 9 8945HS" "Hawk Point-HS (Zen 4)" 8MB + 16MB 45 4000 ‑ 5200 8/16            
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
62 "AMD Ryzen 9 7940HS" "Phoenix-HS (Zen 4)" 8MB + 16MB 35 4000 ‑ 5200 8/16 56.3 285n6 2664.85n6 1792n6 17124n6 20.8n5 188n5 6652n6 70050n6 1981n7 11564n7 315n5
63 "AMD Ryzen 9 PRO 7940HS" "Phoenix-HS (Zen 4)" 8MB + 16MB 35 4000 ‑ 5200 8/16 52.9 263.5n2 2539n2 1681n2 15928.5n2 18.7n2 203n2 6029.5n2 64558n2 1857n2 10967.5n2 297n2
64 "AMD Ryzen 7 7745HX" "Dragon Range (Zen 4)" 8MB + 32MB 55 3600 ‑ 5100 8/16 59.3 294 2978 1846 18060 23.2 174 7244 75557 2040 12378 345
65* "AMD Ryzen 7 8845HS" "Hawk Point-HS (Zen 4)" 8MB + 16MB 45 3800 ‑ 5100 8/16            
66* "Intel Core Ultra 5 125H" "Meteor Lake" + 18MB 28 3600 ‑ 4500 14/18            
67 "Intel Core i7-13650HX" "Raptor Lake-HX" + 24MB 55 1900 ‑ 4900 14/20 56.9 274n2 3141.5n2 1868.5n2 20999n2 23.15n2 161.5n2 5981.5n2 78884.5n2 1845n2 14196n2 312n3
68* "AMD Ryzen 7 8840HS" "Hawk Point-HS (Zen 4)" 8MB + 16MB 28 3300 ‑ 5100 8/16            
69 "AMD Ryzen 7 7840HS" "Phoenix-HS (Zen 4)" 8MB + 16MB 35 3800 ‑ 5100 8/16 56.1 279n11 2608n11 1779n11 16706n11 20.4n13 192n13 6640n13 70243n13 1960n13 11803n13 322n13
70 "AMD Ryzen 7 7840S" "Phoenix-HS (Zen 4)" 8MB + 16MB 35 3800 ‑ 5100 8/16 53.9 274 2222.84n3 1761 15102 18.6 213 6328 64696 1939 11288 296
71* "AMD Ryzen 7 PRO 7840HS" "Phoenix-HS (Zen 4)" 8MB + 16MB 35 3800 ‑ 5100 8/16            
72* "AMD Ryzen 9 6980HX" "Rembrandt-H (Zen 3+)" 4MB + 16MB 45 3300 ‑ 5000 8/16            
73 "Intel Core i7-12800H" "Alder Lake-H" 11.5MB + 24MB 45 1800 ‑ 4800 14/20 52.5 265n5 2222n5 1828n5 15283n5 16.8n5 222n5 5820n5 62100n5 1771n5 12434n5 294.5n4
74* "Apple M3 Pro 12-Core"   27 2748 ‑ 4056 12/12 ~60.664%  2163 1977 15106  327   2327 15298 427
75* "Apple M3 Pro 11-Core"   27 2748 ‑ 4056 11/11 ~62.673% 281 1913 1942 13315  365   2331 13312 431
76* "Intel Core i7-12650HX" "Alder Lake-HX" 11.5MB + 24MB 55 1500 ‑ 4700 14/20            
77* "Intel Core i5-13600HX" "Raptor Lake-HX" + 24MB 55 1900 ‑ 4800 14/20 ~53.918%         1912.5n2 15135n2 
78 "Intel Core i5-13500HX" "Raptor Lake-HX" + 24MB 55 1800 ‑ 4700 14/20 53.3 252n3 2863n3 1730.5n2 18334n3 20.3n3 193n3 5728n3 71243n3 1730n3 13581n3 293n3
79 "AMD Ryzen 9 3900X" "Matisse (Zen 2)" 6MB + 64MB 105 3800 ‑ 4600 12/24 47.4 207n3 3049n3 1370 19000 20.75n2 162.3n3 5316n3 80935n3 1250n4 10498n4 225
80* "Qualcomm Snapdragon X Elite" Oryon  45 3800 ‑ 4300 12/12            
81 "Apple M2 Max"  36MB + 48MB 79 2424 ‑ 3696 12/12 ~57.573% 236n2 2084n2 1643.5n2 14752.5n2  333   1967n3 15373n3 404.5n2
